ss;Student State;STUSTA
it;Institution Type;INSTYP
ge;Gender;GEN
in;Institution;INS
na;Nationality;NAT
ssys;Study System;STUSYS
co;College;COL
se;Section;SEC
sp;Speciality;SPE
ds;Degree State;DEGSTA
