دبلومعالٍ;Higher Diploma;HIGDIP
ماجستير;Master;MAS
زمالة;Fellowship;FEL
دكتوراه;Doctorate;DOC
جملة;Total;TOT
دبلومعالي;Higher Diploma;HIGDIP
دكتوراة;Doctorate;DOC
