;;;;;;;;;سعودي;سعودي;سعودي;غير سعودي;غير سعودي;غير سعودي;المجموع;المجموع;المجموع;NA
YR;SS;DS;IT;IN;CO;SE;SP;SSYS;ذكر ;أنثى ;جملة ;ذكر ;أنثى ;جملة ;ذكر ;أنثى ;جملة ;GE
1435-1434;fr;pg;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا;الآداب;الجغرافيا;جغرافيا التنمية الاقليمية;ماجستير;0;1;1;0;0;0;0;1;1;
1435-1434;fr;pg;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا;الآداب;الجغرافيا;جغرافيا التنمية الاقليمية;زمالة;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا;الآداب;الجغرافيا;جغرافيا التنمية الاقليمية;دكتوراه;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا;الآداب;الجغرافيا;جغرافيا التنمية الاقليمية;جملة;0;1;1;0;0;0;0;1;1;
1435-1434;fr;pg;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا;الآداب;الجغرافيا;جغرافيا العمران والسكان;دبلومعالٍ;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا;الآداب;الجغرافيا;جغرافيا العمران والسكان;ماجستير;0;2;2;0;0;0;0;2;2;
1435-1434;fr;pg;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا;الآداب;الجغرافيا;جغرافيا العمران والسكان;زمالة;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا;الآداب;الجغرافيا;جغرافيا العمران والسكان;دكتوراه;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا;الآداب;الجغرافيا;جغرافيا العمران والسكان;جملة;0;2;2;0;0;0;0;2;2;
1435-1434;fr;pg;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا;الآداب;الجغرافيا;نظم المعلومات الجغرافية;دبلومعالٍ;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا;الآداب;الجغرافيا;نظم المعلومات الجغرافية;ماجستير;8;0;8;0;0;0;8;0;8;
1435-1434;fr;pg;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا;الآداب;الجغرافيا;نظم المعلومات الجغرافية;زمالة;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا;الآداب;الجغرافيا;نظم المعلومات الجغرافية;دكتوراه;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا;الآداب;الجغرافيا;نظم المعلومات الجغرافية;جملة;8;0;8;0;0;0;8;0;8;
1435-1434;fr;pg;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا;الآداب;الدراسات الاجتماعية;جملة;دبلومعالٍ;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا;الآداب;الدراسات الاجتماعية;جملة;ماجستير;69;100;169;0;0;0;69;100;169;
1435-1434;fr;pg;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا;الآداب;الدراسات الاجتماعية;جملة;زمالة;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا;الآداب;الدراسات الاجتماعية;جملة;دكتوراه;3;7;10;0;0;0;3;7;10;
1435-1434;fr;pg;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا;الآداب;الدراسات الاجتماعية;جملة;جملة;72;107;179;0;0;0;72;107;179;
1435-1434;fr;pg;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا;الآداب;الدراسات الاجتماعية;خدمة اجتماعية;دبلومعالٍ;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا;الآداب;الدراسات الاجتماعية;خدمة اجتماعية;ماجستير;27;55;82;0;0;0;27;55;82;
1435-1434;fr;pg;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا;الآداب;الدراسات الاجتماعية;خدمة اجتماعية;زمالة;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا;الآداب;الدراسات الاجتماعية;خدمة اجتماعية;دكتوراه;2;6;8;0;0;0;2;6;8;
1435-1434;fr;pg;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا;الآداب;الدراسات الاجتماعية;خدمة اجتماعية;جملة;29;61;90;0;0;0;29;61;90;
1435-1434;fr;pg;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا;الآداب;الدراسات الاجتماعية;علم اجتماع;دبلومعالٍ;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا;الآداب;الدراسات الاجتماعية;علم اجتماع;ماجستير;42;45;87;0;0;0;42;45;87;
1435-1434;fr;pg;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا;الآداب;الدراسات الاجتماعية;علم اجتماع;زمالة;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا;الآداب;الدراسات الاجتماعية;علم اجتماع;دكتوراه;1;1;2;0;0;0;1;1;2;
1435-1434;fr;pg;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا;الآداب;الدراسات الاجتماعية;علم اجتماع;جملة;43;46;89;0;0;0;43;46;89;
1435-1434;fr;pg;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا;الآداب;اللغة العربية;جملة;دبلومعالٍ;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا;الآداب;اللغة العربية;جملة;ماجستير;63;88;151;14;2;16;77;90;167;
1435-1434;fr;pg;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا;الآداب;اللغة العربية;جملة;زمالة;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا;الآداب;اللغة العربية;جملة;دكتوراه;9;3;12;2;1;3;11;4;15;
1435-1434;fr;pg;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا;الآداب;اللغة العربية;جملة;جملة;72;91;163;16;3;19;88;94;182;
1435-1434;fr;pg;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا;الآداب;اللغة العربية;الأدب والنقد;دبلومعالٍ;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا;الآداب;اللغة العربية;الأدب والنقد;ماجستير;5;22;27;2;1;3;7;23;30;
1435-1434;fr;pg;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا;الآداب;اللغة العربية;الأدب والنقد;زمالة;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا;الآداب;اللغة العربية;الأدب والنقد;دكتوراه;4;0;4;2;1;3;6;1;7;
1435-1434;fr;pg;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا;الآداب;اللغة العربية;الأدب والنقد;جملة;9;22;31;4;2;6;13;24;37;
1435-1434;fr;pg;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا;الآداب;اللغة العربية;النحو واللغة;دبلومعالٍ;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا;الآداب;اللغة العربية;النحو واللغة;ماجستير;3;23;26;12;0;12;15;23;38;
1435-1434;fr;pg;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا;الآداب;اللغة العربية;النحو واللغة;زمالة;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا;الآداب;اللغة العربية;النحو واللغة;دكتوراه;5;3;8;0;0;0;5;3;8;
1435-1434;fr;pg;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا;الآداب;اللغة العربية;النحو واللغة;جملة;8;26;34;12;0;12;20;26;46;
1435-1434;fr;pg;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا;الآداب;اللغة العربية;الأدب;دبلومعالٍ;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا;الآداب;اللغة العربية;الأدب;ماجستير;35;27;62;0;0;0;35;27;62;
1435-1434;fr;pg;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا;الآداب;اللغة العربية;الأدب;زمالة;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا;الآداب;اللغة العربية;الأدب;دكتوراه;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا;الآداب;اللغة العربية;الأدب;جملة;35;27;62;0;0;0;35;27;62;
1435-1434;fr;pg;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا;الآداب;اللغة العربية;اللغة;دبلومعالٍ;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا;الآداب;اللغة العربية;اللغة;ماجستير;20;16;36;0;1;1;20;17;37;
1435-1434;fr;pg;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا;الآداب;اللغة العربية;اللغة;زمالة;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا;الآداب;اللغة العربية;اللغة;دكتوراه;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا;الآداب;اللغة العربية;اللغة;جملة;20;16;36;0;1;1;20;17;37;
1435-1434;fr;pg;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا;الآداب;علوم المعلومات;جملة;دبلومعالٍ;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا;الآداب;علوم المعلومات;جملة;ماجستير;3;14;17;1;0;1;4;14;18;
1435-1434;fr;pg;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا;الآداب;علوم المعلومات;جملة;زمالة;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا;الآداب;علوم المعلومات;جملة;دكتوراه;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا;الآداب;علوم المعلومات;جملة;جملة;3;14;17;1;0;1;4;14;18;
1435-1434;fr;pg;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا;الآداب;علوم المعلومات;علوم المكتبات والمعلومات;دبلومعالٍ;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا;الآداب;علوم المعلومات;علوم المكتبات والمعلومات;ماجستير;3;14;17;1;0;1;4;14;18;
1435-1434;fr;pg;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا;الآداب;علوم المعلومات;علوم المكتبات والمعلومات;زمالة;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا;الآداب;علوم المعلومات;علوم المكتبات والمعلومات;دكتوراه;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا;الآداب;علوم المعلومات;علوم المكتبات والمعلومات;جملة;3;14;17;1;0;1;4;14;18;
1435-1434;fr;pg;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا;الحقوق والعلوم السياسية;جملة;جملة;دبلومعالٍ;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا;الحقوق والعلوم السياسية;جملة;جملة;ماجستير;0;0;0;3;0;3;3;0;3;
1435-1434;fr;pg;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا;الحقوق والعلوم السياسية;جملة;جملة;زمالة;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا;الحقوق والعلوم السياسية;جملة;جملة;دكتوراه;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا;الحقوق والعلوم السياسية;جملة;جملة;جملة;0;0;0;3;0;3;3;0;3;
1435-1434;fr;pg;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا;الحقوق والعلوم السياسية;العلوم السياسية;جملة;دبلومعالٍ;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا;الحقوق والعلوم السياسية;العلوم السياسية;جملة;ماجستير;0;0;0;3;0;3;3;0;3;
1435-1434;fr;pg;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا;الحقوق والعلوم السياسية;العلوم السياسية;جملة;زمالة;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا;الحقوق والعلوم السياسية;العلوم السياسية;جملة;دكتوراه;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا;الحقوق والعلوم السياسية;العلوم السياسية;جملة;جملة;0;0;0;3;0;3;3;0;3;
1435-1434;fr;pg;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا;الحقوق والعلوم السياسية;العلوم السياسية;العلوم السياسية;دبلومعالٍ;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا;الحقوق والعلوم السياسية;العلوم السياسية;العلوم السياسية;ماجستير;0;0;0;3;0;3;3;0;3;
1435-1434;fr;pg;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا;الحقوق والعلوم السياسية;العلوم السياسية;العلوم السياسية;زمالة;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا;الحقوق والعلوم السياسية;العلوم السياسية;العلوم السياسية;دكتوراه;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا;الحقوق والعلوم السياسية;العلوم السياسية;العلوم السياسية;جملة;0;0;0;3;0;3;3;0;3;
1435-1434;fr;pg;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا;التربية;جملة;جملة;دبلومعالٍ;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا;التربية;جملة;جملة;ماجستير;360;461;821;20;11;31;380;472;852;
1435-1434;fr;pg;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا;التربية;جملة;جملة;زمالة;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا;التربية;جملة;جملة;دكتوراه;56;37;93;9;2;11;65;39;104;
1435-1434;fr;pg;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا;التربية;جملة;جملة;جملة;416;498;914;29;13;42;445;511;956;
1435-1434;fr;pg;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا;التربية;الإدارة التربوية;جملة;دبلومعالٍ;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا;التربية;الإدارة التربوية;جملة;ماجستير;45;70;115;1;1;2;46;71;117;
1435-1434;fr;pg;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا;التربية;الإدارة التربوية;جملة;زمالة;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا;التربية;الإدارة التربوية;جملة;دكتوراه;14;16;30;2;0;2;16;16;32;
1435-1434;fr;pg;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا;التربية;الإدارة التربوية;جملة;جملة;59;86;145;3;1;4;62;87;149;
1435-1434;fr;pg;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا;التربية;الإدارة التربوية;إدارة  التعليم العالي;دبلومعالٍ;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا;التربية;الإدارة التربوية;إدارة  التعليم العالي;ماجستير;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا;التربية;الإدارة التربوية;إدارة  التعليم العالي;زمالة;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا;التربية;الإدارة التربوية;إدارة  التعليم العالي;دكتوراه;5;2;7;0;0;0;5;2;7;
1435-1434;fr;pg;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا;التربية;الإدارة التربوية;إدارة  التعليم العالي;جملة;5;2;7;0;0;0;5;2;7;
1435-1434;fr;pg;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا;التربية;الإدارة التربوية;إدارة التعليم العام;دبلومعالٍ;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا;التربية;الإدارة التربوية;إدارة التعليم العام;ماجستير;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا;التربية;الإدارة التربوية;إدارة التعليم العام;زمالة;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا;التربية;الإدارة التربوية;إدارة التعليم العام;دكتوراه;9;14;23;2;0;2;11;14;25;
1435-1434;fr;pg;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا;التربية;الإدارة التربوية;إدارة التعليم العام;جملة;9;14;23;2;0;2;11;14;25;
1435-1434;fr;pg;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا;التربية;الإدارة التربوية;الإدارة التربوية;دبلومعالٍ;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا;التربية;الإدارة التربوية;الإدارة التربوية;ماجستير;45;70;115;1;1;2;46;71;117;
1435-1434;fr;pg;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا;التربية;الإدارة التربوية;الإدارة التربوية;زمالة;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا;التربية;الإدارة التربوية;الإدارة التربوية;دكتوراه;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا;التربية;الإدارة التربوية;الإدارة التربوية;جملة;45;70;115;1;1;2;46;71;117;
1435-1434;fr;pg;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا;التربية;السياسات التربوية;جملة;دبلومعالٍ;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا;التربية;السياسات التربوية;جملة;ماجستير;5;19;24;1;0;1;6;19;25;
1435-1434;fr;pg;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا;التربية;السياسات التربوية;جملة;زمالة;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا;التربية;السياسات التربوية;جملة;دكتوراه;7;2;9;1;0;1;8;2;10;
1435-1434;fr;pg;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا;التربية;السياسات التربوية;جملة;جملة;12;21;33;2;0;2;14;21;35;
1435-1434;fr;pg;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا;التربية;السياسات التربوية;أصول التربية;دبلومعالٍ;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا;التربية;السياسات التربوية;أصول التربية;ماجستير;4;9;13;0;0;0;4;9;13;
1435-1434;fr;pg;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا;التربية;السياسات التربوية;أصول التربية;زمالة;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا;التربية;السياسات التربوية;أصول التربية;دكتوراه;4;1;5;0;0;0;4;1;5;
1435-1434;fr;pg;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا;التربية;السياسات التربوية;أصول التربية;جملة;8;10;18;0;0;0;8;10;18;
1435-1434;fr;pg;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا;التربية;السياسات التربوية;تعليم الكبار والتعليم المستمر;دبلومعالٍ;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا;التربية;السياسات التربوية;تعليم الكبار والتعليم المستمر;ماجستير;1;5;6;1;0;1;2;5;7;
1435-1434;fr;pg;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا;التربية;السياسات التربوية;تعليم الكبار والتعليم المستمر;زمالة;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا;التربية;السياسات التربوية;تعليم الكبار والتعليم المستمر;دكتوراه;3;1;4;1;0;1;4;1;5;
1435-1434;fr;pg;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا;التربية;السياسات التربوية;تعليم الكبار والتعليم المستمر;جملة;4;6;10;2;0;2;6;6;12;
1435-1434;fr;pg;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا;التربية;السياسات التربوية;تربية الطفولة المبكرة;دبلومعالٍ;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا;التربية;السياسات التربوية;تربية الطفولة المبكرة;ماجستير;0;5;5;0;0;0;0;5;5;
1435-1434;fr;pg;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا;التربية;السياسات التربوية;تربية الطفولة المبكرة;زمالة;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا;التربية;السياسات التربوية;تربية الطفولة المبكرة;دكتوراه;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا;التربية;السياسات التربوية;تربية الطفولة المبكرة;جملة;0;5;5;0;0;0;0;5;5;
1435-1434;fr;pg;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا;التربية;التربية الخاصة;جملة;دبلومعالٍ;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا;التربية;التربية الخاصة;جملة;ماجستير;119;78;197;0;0;0;119;78;197;
1435-1434;fr;pg;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا;التربية;التربية الخاصة;جملة;زمالة;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا;التربية;التربية الخاصة;جملة;دكتوراه;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا;التربية;التربية الخاصة;جملة;جملة;119;78;197;0;0;0;119;78;197;
1435-1434;fr;pg;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا;التربية;التربية الخاصة;الإعاقة السمعية;دبلومعالٍ;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا;التربية;التربية الخاصة;الإعاقة السمعية;ماجستير;31;19;50;0;0;0;31;19;50;
1435-1434;fr;pg;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا;التربية;التربية الخاصة;الإعاقة السمعية;زمالة;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا;التربية;التربية الخاصة;الإعاقة السمعية;دكتوراه;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا;التربية;التربية الخاصة;الإعاقة السمعية;جملة;31;19;50;0;0;0;31;19;50;
1435-1434;fr;pg;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا;التربية;التربية الخاصة;التخلف العقلي;دبلومعالٍ;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا;التربية;التربية الخاصة;التخلف العقلي;ماجستير;44;24;68;0;0;0;44;24;68;
1435-1434;fr;pg;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا;التربية;التربية الخاصة;التخلف العقلي;زمالة;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا;التربية;التربية الخاصة;التخلف العقلي;دكتوراه;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا;التربية;التربية الخاصة;التخلف العقلي;جملة;44;24;68;0;0;0;44;24;68;
1435-1434;fr;pg;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا;التربية;التربية الخاصة;صعوبات التعلم;دبلومعالٍ;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا;التربية;التربية الخاصة;صعوبات التعلم;ماجستير;42;30;72;0;0;0;42;30;72;
1435-1434;fr;pg;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا;التربية;التربية الخاصة;صعوبات التعلم;زمالة;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا;التربية;التربية الخاصة;صعوبات التعلم;دكتوراه;0;0;0;0;0;0;0;0;0;
