;;;;;;;;;سعودي;سعودي;سعودي;غير سعودي;غير سعودي;غير سعودي;المجموع;المجموع;المجموع;NA
YR;SS;DS;IT;IN;CO;SE;SP;SSYS;ذكر ;أنثى ;جملة ;ذكر ;أنثى ;جملة ;ذكر ;أنثى ;جملة ;GE
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;الشريعة والدراسات الإسلامية ;مركز الدراسات الإسلامية;الدبلوم العام في الدراسات الإسلامية;جملة;31;20;51;0;0;0;31;20;51;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;الشريعة والدراسات الإسلامية ;مركز الدراسات الإسلامية;الدراسات الإسلامية;دبلومعالٍ;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;الشريعة والدراسات الإسلامية ;مركز الدراسات الإسلامية;الدراسات الإسلامية;ماجستير;4;0;4;0;0;0;4;0;4;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;الشريعة والدراسات الإسلامية ;مركز الدراسات الإسلامية;الدراسات الإسلامية;زمالة;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;الشريعة والدراسات الإسلامية ;مركز الدراسات الإسلامية;الدراسات الإسلامية;دكتوراه;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;الشريعة والدراسات الإسلامية ;مركز الدراسات الإسلامية;الدراسات الإسلامية;جملة;4;0;4;0;0;0;4;0;4;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;الشريعة والدراسات الإسلامية ;التاريخ والحضارة الإسلامية;جملة;دبلومعالٍ;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;الشريعة والدراسات الإسلامية ;التاريخ والحضارة الإسلامية;جملة;ماجستير;32;50;82;0;0;0;32;50;82;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;الشريعة والدراسات الإسلامية ;التاريخ والحضارة الإسلامية;جملة;زمالة;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;الشريعة والدراسات الإسلامية ;التاريخ والحضارة الإسلامية;جملة;دكتوراه;9;2;11;0;0;0;9;2;11;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;الشريعة والدراسات الإسلامية ;التاريخ والحضارة الإسلامية;جملة;جملة;41;52;93;0;0;0;41;52;93;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;الشريعة والدراسات الإسلامية ;التاريخ والحضارة الإسلامية;التاريخ والحضارة;دبلومعالٍ;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;الشريعة والدراسات الإسلامية ;التاريخ والحضارة الإسلامية;التاريخ والحضارة;ماجستير;16;50;66;0;0;0;16;50;66;
