ARAB;ENG
جامعة الملك خالد دبلوم متوسط;Public Universities
جامعة القصيم دبلوم متوسط;Public Universities
جامعة طيبة دبلوم متوسط;Public Universities
جامعة جازان دبلوم متوسط;Public Universities
جامعة حائل دبلوم متوسط;Public Universities
جامعة الجوف دبلوم متوسط;Public Universities
جامعة تبوك دبلوم متوسط;Public Universities
جامعة الباحة دبلوم متوسط;Public Universities
جامعة نجران دبلوم متوسط;Public Universities
جامعة الأميرة نورة بنت عبد الرحمن دبلوم متوسط;Public Universities
جامعة الحدود الشمالية دبلوم متوسط;Public Universities
جامعة شقراء دبلوم متوسط;Public Universities
جامعة سلمان بن عبدالعزيز دبلوم متوسط;Public Universities
جامعة الدمام دبلوم متوسط;Public Universities
جامعة المجمعة دبلوم متوسط;Public Universities
إجمالي الجامعات الحكومية;Public Universities
كلية الجبيل الصناعية دبلوم متوسط;Other Institutions
قطاع ينبع التعليمي دبلوم متوسط;Other Institutions
معهد الإدارة العامة دبلوم المتوسط;Other Institutions
كلية الأمير سلطان العسكرية للعلوم الصحية بالظهران دبلوم متوسط;Other Institutions
معهد الجبيل التقني دبلوم متوسط;Other Institutions
المؤسسة العامة للتدريب التقني والمهني;Other Institutions
إجمالي مؤسسات التعليم العالي الأخرى;Other Institutions
إجمالي مؤسسات التعليم العالي في المملكة;All Institution Types
إجمالي الجامعات الحكومية;Public Universities
جامعة أم القرى بكالوريوس;Public Universities
الجامعة الإسلامية بكالوريوس;Public Universities
جامعة الإمام محمد بن سعود الإسلامية بكالوريوس;Public Universities
جامعة الملك سعود بكالوريوس;Public Universities
جامعة الملك عبد العزيز بكالوريوس;Public Universities
جامعة الملك فهد للبترول والمعادن بكالوريوس;Public Universities
جامعة الملك فيصل بكالوريوس;Public Universities
جامعة الملك خالد بكالوريوس;Public Universities
جامعة القصيم بكالوريوس;Public Universities
جامعة طيبة بكالوريوس;Public Universities
جامعة الطائف بكالوريوس;Public Universities
جامعة الملك سعود بن عبدالعزيز للعلوم الصحية بكالوريوس;Public Universities
جامعة جازان بكالوريوس;Public Universities
جامعة حائل بكالوريوس;Public Universities
جامعة الجوف بكالوريوس;Public Universities
جامعة تبوك بكالوريوس;Public Universities
جامعة الباحة بكالوريوس;Public Universities
جامعة نجران بكالوريوس;Public Universities
جامعة الأميرة نورة بنت عبد الرحمن بكالوريوس;Public Universities
جامعة الحدود الشمالية بكالوريوس;Public Universities
جامعة شقراء بكالوريوس;Public Universities
جامعة سلمان بن عبدالعزيز بكالوريوس;Public Universities
جامعة الدمام بكالوريوس;Public Universities
جامعة المجمعة بكالوريوس;Public Universities
الجامعة السعودية الإلكترونية بكالوريوس;Public Universities
إجمالي الجامعات والكليات الأهلية;Private Universities and Colleges
جامعة الأمير سلطان بكالوريوس;Private Universities and Colleges
الجامعة العربية المفتوحة بكالوريوس;Private Universities and Colleges
جامعة الأمير محمد بن فهد بكالوريوس;Private Universities and Colleges
جامعة الفيصل بكالوريوس;Private Universities and Colleges
جامعة اليمامة بكالوريوس;Private Universities and Colleges
جامعة عفت بكالوريوس;Private Universities and Colleges
جامعة دار العلوم الأهلية بكالوريوس;Private Universities and Colleges
جامعة فهد بن سلطان بكالوريوس;Private Universities and Colleges
كليات القصيم الأهلية بكالوريوس;Private Universities and Colleges
جامعة دار الحكمة بكالوريوس;Private Universities and Colleges
كلية ابن رشد للعلوم الإدارية بكالوريوس;Private Universities and Colleges
كلية الباحة الأهلية للعلوم بكالوريوس;Private Universities and Colleges
جامعة الأعمال والتكنولوجيا الأهلية بكالوريوس;Private Universities and Colleges
كلية الدكتور سليمان فقيه للتمريض والعلوم الطبية بكالوريوس;Private Universities and Colleges
الإجمالي الكلي;All Institution Types
كليات الرياض لطب الأسنان والصيدلة بكالوريوس;Private Universities and Colleges
كلية ابن سينا الأهلية للعلوم الطبية بكالوريوس;Private Universities and Colleges
كلية الأمير سلطان للسياحة والإدارة بجدة بكالوريوس;Private Universities and Colleges
كلية البترجي للعلوم الطبية والتكنولوجيا الأهلية بكالوريوس;Private Universities and Colleges
كلية سعد للتمريض والعلوم الصحية الأهلية بكالوريوس;Private Universities and Colleges
كلية الريادة للعلوم الصحية الأهلية بكالوريوس;Private Universities and Colleges
كلية المعرفة للعلوم والتقنية بكالوريوس;Private Universities and Colleges
كليات بريدة الأهلية بكالوريوس;Private Universities and Colleges
كلية محمد المانع الأهلية للعلوم الطبية بكالوريوس;Private Universities and Colleges
كلية الفارابي لطب الأسنان والتمريض بكالوريوس;Private Universities and Colleges
كليات الغد الدولية للعلوم الطبية التطبيقية بكالوريوس;Private Universities and Colleges
كليات سليمان الراجحي الأهلية بكالوريوس;Private Universities and Colleges
كلية العناية الطبية الأهلية بكالوريوس;Private Universities and Colleges
إجمالي مؤسسات التعليم العالي الأخرى;All Institution Types
كلية الجبيل الصناعية بكالوريوس;All Institution Types
الكلية الجامعية بالجبيل بكالوريوس;All Institution Types
قطاع ينبع التعليمي بكالوريوس;All Institution Types
كلية الأمير سلطان العسكرية للعلوم الصحية بالظهران بكالوريوس;All Institution Types
المؤسسة العامة للتدريب التقني والمهني بكالوريوس;All Institution Types
إجمالي مؤسسات التعليم العالي في المملكة;All Institution Types
