CO;IN;IT
جملة;جامعة الملك عبد العزيز ;PUB
الاقتصاد والإدارة;جامعة الملك عبد العزيز ;PUB
الآداب والعلوم الإنسانية;جامعة الملك عبد العزيز ;PUB
الأرصاد والبيئة وزراعة المناطق الجافة;جامعة الملك عبد العزيز ;PUB
الحاسبات وتقنية المعلومات;جامعة الملك عبد العزيز ;PUB
الطب;جامعة الملك عبد العزيز ;PUB
التربية ;جامعة الملك عبد العزيز ;PUB
العلوم;جامعة الملك عبد العزيز ;PUB
الصيدلة;جامعة الملك عبد العزيز ;PUB
طب الأسنان;جامعة الملك عبد العزيز ;PUB
الهندسة;جامعة الملك عبد العزيز ;PUB
تصاميم البيئة;جامعة الملك عبد العزيز ;PUB
علوم الأرض;جامعة الملك عبد العزيز ;PUB
علوم البحار;جامعة الملك عبد العزيز ;PUB
الاقتصاد المنزلي;جامعة الملك عبد العزيز ;PUB
التصاميم والفنون;جامعة الملك عبد العزيز ;PUB
الأعمال برابغ;جامعة الملك عبد العزيز ;PUB
العلوم الطبية التطبيقية;جامعة الملك عبد العزيز ;PUB
الإجمالي الكلي;جامعة الملك عبد العزيز ;PUB
جملة;جامعة الملك فهد للبترول والمعادن ;PUB
العلوم الهندسية;جامعة الملك فهد للبترول والمعادن ;PUB
تصاميم البيئة;جامعة الملك فهد للبترول والمعادن ;PUB
علوم وهندسة الحاسب الآلي;جامعة الملك فهد للبترول والمعادن ;PUB
الإدارة الصناعية;جامعة الملك فهد للبترول والمعادن ;PUB
العلوم;جامعة الملك فهد للبترول والمعادن ;PUB
الإجمالي الكلي;جامعة الملك فهد للبترول والمعادن ;PUB
جملة;جامعة الملك فيصل ;PUB
العلوم;جامعة الملك فيصل ;PUB
إدارة الأعمال;جامعة الملك فيصل ;PUB
التربية;جامعة الملك فيصل ;PUB
الآداب;جامعة الملك فيصل ;PUB
العلوم الزراعية والأغذية;جامعة الملك فيصل ;PUB
الطب البيطري والثروة الحيوانية;جامعة الملك فيصل ;PUB
الإجمالي الكلي;جامعة الملك فيصل ;PUB
جملة;جامعة الملك خالد ;PUB
الشريعة وأصول الدين;جامعة الملك خالد ;PUB
العلوم الإنسانية;جامعة الملك خالد ;PUB
العلوم;جامعة الملك خالد ;PUB
التربية;جامعة الملك خالد ;PUB
اللغات والترجمة;جامعة الملك خالد ;PUB
الإجمالي الكلي;جامعة الملك خالد ;PUB
جملة;جامعة القصيم ;PUB
الزراعة والطب البيطري;جامعة القصيم ;PUB
الحاسب الآلي;جامعة القصيم ;PUB
الشريعة والدراسات الإسلامية;جامعة القصيم ;PUB
العلوم;جامعة القصيم ;PUB
اللغة العربية والدراسات الإجتماعية;جامعة القصيم ;PUB
الاقتصاد والإدارة ;جامعة القصيم ;PUB
التربية;جامعة القصيم ;PUB
عمادة خدمة المجتمع ببريدة;جامعة القصيم ;PUB
الإجمالي الكلي;جامعة القصيم ;PUB
جملة;جامعة طيبة ;PUB
العلوم;جامعة طيبة ;PUB
التربية;جامعة طيبة ;PUB
الآداب والعلوم الإنسانية;جامعة طيبة ;PUB
المعهد العالي للأئمة والخطباء;جامعة طيبة ;PUB
الإجمالي الكلي;جامعة طيبة ;PUB
جملة;جامعة الطائف ;PUB
التربية;جامعة الطائف ;PUB
الآداب;جامعة الطائف ;PUB
العلوم;جامعة الطائف ;PUB
الشريعة والأنظمة;جامعة الطائف ;PUB
العلوم الإدارية والمالية;جامعة الطائف ;PUB
الإجمالي الكلي;جامعة الطائف ;PUB
جملة;جامعة الملك سعود بن عبد العزيز للعلوم الصحية ;PUB
الطب بالرياض;جامعة الملك سعود بن عبد العزيز للعلوم الصحية ;PUB
الصحة العامة والمعلوماتية الصحية بالرياض;جامعة الملك سعود بن عبد العزيز للعلوم الصحية ;PUB
الإجمالي الكلي;جامعة الملك سعود بن عبد العزيز للعلوم الصحية ;PUB
جملة;جامعة حائل ;PUB
الآداب والفنون;جامعة حائل ;PUB
التربية;جامعة حائل ;PUB
الإجمالي الكلي;جامعة حائل ;PUB
جملة;جامعة تبوك ;PUB
العلوم;جامعة تبوك ;PUB
التربية والآداب;جامعة تبوك ;PUB
الإجمالي الكلي;جامعة تبوك ;PUB
جملة;جامعة الباحة ;PUB
التربية;جامعة الباحة ;PUB
العلوم المالية والإدارية;جامعة الباحة ;PUB
العلوم والآداب الإنسانية;جامعة الباحة ;PUB
الإجمالي الكلي;جامعة الباحة ;PUB
جملة;جامعة نجران ;PUB
العلوم والآداب;جامعة نجران ;PUB
التربية;جامعة نجران ;PUB
الإجمالي الكلي;جامعة نجران ;PUB
جملة;جامعة الأميرة نورة بنت عبد الرحمن ;PUB
عمادة خدمة المجتمع والتعليم المستمر;جامعة الأميرة نورة بنت عبد الرحمن ;PUB
الإجمالي الكلي;جامعة الأميرة نورة بنت عبد الرحمن ;PUB
جملة;جامعة الدمام ;PUB
الطب بالدمام;جامعة الدمام ;PUB
العمارة والتخطيط;جامعة الدمام ;PUB
العلوم الطبية التطبيقية;جامعة الدمام ;PUB
التمريض;جامعة الدمام ;PUB
العلوم بالدمام;جامعة الدمام ;PUB
الآداب بالدمام;جامعة الدمام ;PUB
الإجمالي الكلي;جامعة الدمام ;PUB
جملة;الجامعة السعودية الإلكترونية ;PUB
العلوم الإدارية والمالية;الجامعة السعودية الإلكترونية ;PUB
الإجمالي الكلي;الجامعة السعودية الإلكترونية ;PUB
جملة;إجمالي الجامعات الحكومية;PUB
جملة;جامعة الأمير سلطان ;PRI
برنامج الدراسات العليا;جامعة الأمير سلطان ;PRI
الإجمالي الكلي;جامعة الأمير سلطان ;PRI
جملة;الجامعة العربية المفتوحة ;PRI
التربية;الجامعة العربية المفتوحة ;PRI
الإجمالي الكلي;الجامعة العربية المفتوحة ;PRI
جملة;جامعة الأمير محمد بن فهد ;PRI
إدارة الأعمال;جامعة الأمير محمد بن فهد ;PRI
الآداب والعلوم;جامعة الأمير محمد بن فهد ;PRI
الإجمالي الكلي;جامعة الأمير محمد بن فهد ;PRI
جملة;جامعة الفيصل ;PRI
إدارة  الأعمال;جامعة الفيصل ;PRI
كلية الطب البشري;جامعة الفيصل ;PRI
الإجمالي الكلي;جامعة الفيصل ;PRI
جملة;جامعة اليمامة ;PRI
إدارة الأعمال;جامعة اليمامة ;PRI
الإجمالي الكلي;جامعة اليمامة ;PRI
جملة;جامعة عفت ;PRI
إدارة الأعمال;جامعة عفت ;PRI
الإجمالي الكلي;جامعة عفت ;PRI
جملة;جامعة دار  العلوم الأهلية ;PRI
إدارة الأعمال;جامعة دار  العلوم الأهلية ;PRI
الحقوق;جامعة دار  العلوم الأهلية ;PRI
الإجمالي الكلي;جامعة دار  العلوم الأهلية ;PRI
جملة;جامعة فهد بن سلطان ;PRI
الأعمال والإدارة;جامعة فهد بن سلطان ;PRI
الإجمالي الكلي;جامعة فهد بن سلطان ;PRI
جملة;كلية دار الحكمة ;PRI
دار الحكمة لإدارة الأعمال;كلية دار الحكمة ;PRI
الإجمالي الكلي;كلية دار الحكمة ;PRI
جملة;جامعة الأعمال والتكنولوجيا الأهلية ;PRI
كلية إدارة الأعمال الأهلية;جامعة الأعمال والتكنولوجيا الأهلية ;PRI
الإجمالي الكلي;جامعة الأعمال والتكنولوجيا الأهلية ;PRI
جملة;كليات الرياض لطب الأسنان والصيدلة ;PRI
الرياض لطب الأسنان ;كليات الرياض لطب الأسنان والصيدلة ;PRI
الرياض لصيدلة والعلوم الطبية;كليات الرياض لطب الأسنان والصيدلة ;PRI
الإجمالي الكلي;كليات الرياض لطب الأسنان والصيدلة ;PRI
جملة;كلية الأمير سلطان للسياحة والإدارة بجدة ;PRI
الأمير سلطان للسياحة والإدارة بجدة;كلية الأمير سلطان للسياحة والإدارة بجدة ;PRI
الإجمالي الكلي;كلية الأمير سلطان للسياحة والإدارة بجدة ;PRI
جملة;كليات الشرق العربي للدراسات العليا;PRI
كليات الشرق العربي للدراسات العليا;كليات الشرق العربي للدراسات العليا;PRI
الإجمالي الكلي;كليات الشرق العربي للدراسات العليا;PRI
جملة;إجمالي الجامعات والكليات الأهلية;PRI
جملة;معهد الإدارة العامة ;PRI
معهد الإدارة العامة;معهد الإدارة العامة ;OI
الإجمالي الكلي ;معهد الإدارة العامة ;OI
جملة;كلية الأمير سلطان العسكرية للعلوم الصحية بالظهران ;OI
كلية الأمير سلطان العسكرية للعلوم الصحية بالظهران ;كلية الأمير سلطان العسكرية للعلوم الصحية بالظهران ;OI
الإجمالي الكلي;كلية الأمير سلطان العسكرية للعلوم الصحية بالظهران ;OI
جملة;إجمالي مؤسسات التعليم العالي الأخرى;OI
جملة;إجمالي مؤسسات التعليم العالي في المملكة;ALL
