CO;IN;IT
جملة;جامعة أم القرى ;PUB
الشريعة والدراسات الإسلامية ;جامعة أم القرى ;PUB
التربية;جامعة أم القرى ;PUB
العلوم التطبيقية للبنات;جامعة أم القرى ;PUB
اللغة العربية وآدابها;جامعة أم القرى ;PUB
الدعوة وأصول الدين;جامعة أم القرى ;PUB
العلوم الاجتماعية;جامعة أم القرى ;PUB
الهندسة والعمارة الإسلامية;جامعة أم القرى ;PUB
الكلية الجامعية بالقنفذة ;جامعة أم القرى ;PUB
المعهد العالي للأمر بالمعروف والنهي عن المنكر ;جامعة أم القرى ;PUB
الكلية الجامعية بالليث;جامعة أم القرى ;PUB
الإجمالي الكلي ;جامعة أم القرى ;PUB
جملة;الجامعة الإسلامية ;PUB
الشريعة ;الجامعة الإسلامية ;PUB
الدعوة وأصول الدين ;الجامعة الإسلامية ;PUB
القرآن الكريم والدراسات الإسلامية ;الجامعة الإسلامية ;PUB
الحديث الشريف والدراسات الإسلامية ;الجامعة الإسلامية ;PUB
اللغة العربية ;الجامعة الإسلامية ;PUB
معهد تعليم اللغة العربية لغير الناطقين بها ;الجامعة الإسلامية ;PUB
الإجمالي الكلي ;الجامعة الإسلامية ;PUB
جملة;جامعة الإمام محمد بن سعود الإسلامية ;PUB
الشريعة ;جامعة الإمام محمد بن سعود الإسلامية ;PUB
اللغة العربية ;جامعة الإمام محمد بن سعود الإسلامية ;PUB
أصول الدين;جامعة الإمام محمد بن سعود الإسلامية ;PUB
العلوم الاجتماعية;جامعة الإمام محمد بن سعود الإسلامية ;PUB
الدعوة ;جامعة الإمام محمد بن سعود الإسلامية ;PUB
اللغات والترجمة;جامعة الإمام محمد بن سعود الإسلامية ;PUB
الاقتصاد والعلوم الإدراية;جامعة الإمام محمد بن سعود الإسلامية ;PUB
المعهد العالي للقضاء;جامعة الإمام محمد بن سعود الإسلامية ;PUB
معهد تعليم اللغة العربية;جامعة الإمام محمد بن سعود الإسلامية ;PUB
المركز الجامعي لخدمة المجتمع والتعليم المستمر ;جامعة الإمام محمد بن سعود الإسلامية ;PUB
الإجمالي الكلي ;جامعة الإمام محمد بن سعود الإسلامية ;PUB
جملة;جامعة الملك سعود ;PUB
إدارة أعمال;جامعة الملك سعود ;PUB
الآداب;جامعة الملك سعود ;PUB
الحقوق والعلوم السياسية;جامعة الملك سعود ;PUB
التربية;جامعة الملك سعود ;PUB
التمريض;جامعة الملك سعود ;PUB
السياحة والآثار;جامعة الملك سعود ;PUB
الصيدلة;جامعة الملك سعود ;PUB
الطب;جامعة الملك سعود ;PUB
العلوم;جامعة الملك سعود ;PUB
العلوم الطبية التطبيقية;جامعة الملك سعود ;PUB
العمارة والتخطيط;جامعة الملك سعود ;PUB
الهندسة;جامعة الملك سعود ;PUB
طب الأسنان;جامعة الملك سعود ;PUB
علوم الأغذية والزراعة;جامعة الملك سعود ;PUB
علوم الحاسب والمعلومات;جامعة الملك سعود ;PUB
معهد اللغة العربية;جامعة الملك سعود ;PUB
اللغات والترجمة;جامعة الملك سعود ;PUB
 إدارة الأعمال - البرنامج الموازي;جامعة الملك سعود ;PUB
الآداب - البرنامج الموازي;جامعة الملك سعود ;PUB
التربية - البرنامج الموازي;جامعة الملك سعود ;PUB
العلوم - البرنامج الموازي;جامعة الملك سعود ;PUB
علوم الحاسب - البرنامج الموازي;جامعة الملك سعود ;PUB
علوم الرياضة والنشاط البدني;جامعة الملك سعود ;PUB
الإجمالي الكلي;جامعة الملك سعود ;PUB
