SE;CO;IN;IT
البرنامج الأكاديمي;الأمير سلطان للسياحة والإدارة بجدة;كلية الأمير سلطان للسياحة والإدارة بجدة بكالوريوس;كلية الأمير سلطان للسياحة والإدارة بجدة بكالوريوس
المحاسبة;المجتمع بالدمام;جامعة الملك فهد للبترول والمعادن دبلوم متوسط;جامعة الملك فهد للبترول والمعادن دبلوم متوسط
المحاسبة;الدراسات التطبيقية وخدمة المجتمع;جامعة الملك فيصل دبلوم متوسط;جامعة الملك فيصل دبلوم متوسط
المحاسبة;المجتمع بالمجمعة;جامعة المجمعة دبلوم متوسط;جامعة المجمعة دبلوم متوسط
المحاسبة;عمادة خدمة المجتمع والتعليم المستمر  بالرياض;جامعة المجمعة دبلوم متوسط;جامعة المجمعة دبلوم متوسط
المحاسبة;عمادة خدمة المجتمع والتعليم المستمر  بحفر الباطن;جامعة المجمعة دبلوم متوسط;جامعة المجمعة دبلوم متوسط
المحاسبة;الكلية الجامعية بالجموم;جامعة أم القرى بكالوريوس;جامعة أم القرى بكالوريوس
المحاسبة;عمادة التعليم عن بعد;جامعة الإمام محمد بن سعود الإسلامية بكالوريوس;جامعة الإمام محمد بن سعود الإسلامية بكالوريوس
المحاسبة;العلوم الإدارية والمالية;جامعة الملك خالد بكالوريوس;جامعة الملك خالد بكالوريوس
المحاسبة;إدارة الأعمال;جامعة طيبة بكالوريوس;جامعة طيبة بكالوريوس
المحاسبة;إدارة الأعمال;جامعة جازان بكالوريوس;جامعة جازان بكالوريوس
المحاسبة;العلوم الإدارية والإنسانية بسكاكا;جامعة الجوف بكالوريوس;جامعة الجوف بكالوريوس
المحاسبة;إدارة الأعمال;جامعة تبوك بكالوريوس;جامعة تبوك بكالوريوس
المحاسبة;إدارة الأعمال;جامعة المجمعة بكالوريوس;جامعة المجمعة بكالوريوس
المحاسبة;إدارة الأعمال بالزلفي;جامعة المجمعة بكالوريوس;جامعة المجمعة بكالوريوس
المحاسبة;العلوم الإدارية والمالية;الجامعة السعودية الإلكترونية بكالوريوس;الجامعة السعودية الإلكترونية بكالوريوس
المحاسبة;إدارة الأعمال;جامعة الأمير محمد بن فهد بكالوريوس;جامعة الأمير محمد بن فهد بكالوريوس
المحاسبة;الباحة الأهلية للعلوم;كلية الباحة الأهلية للعلوم بكالوريوس;كلية الباحة الأهلية للعلوم بكالوريوس
المحاسبة;العلوم الإدارية والإنسانية;كليات بريدة الأهلية بكالوريوس;كليات بريدة الأهلية بكالوريوس
محاسبة;الكلية الجامعية بضباء;جامعة تبوك بكالوريوس;جامعة تبوك بكالوريوس
محاسبة;إدارة الأعمال;جامعة الفيصل بكالوريوس;جامعة الفيصل بكالوريوس
المحاسبة;الشريعة والدراسات الإسلامية ;جامعة أم القرى بكالوريوس;جامعة أم القرى بكالوريوس
المحاسبة;إدارة أعمال;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا
المحاسبة;الاقتصاد والإدارة;جامعة الملك عبد العزيز دراسات عليا;جامعة الملك عبد العزيز دراسات عليا
المحاسبة;كليات الشرق العربي للدراسات العليا;كليات الشرق العربي للدراسات العليا;كليات الشرق العربي للدراسات العليا
المحاسبة ونظم المعلومات الإدارية;الإدارة الصناعية;جامعة الملك فهد للبترول والمعادن بكالوريوس;جامعة الملك فهد للبترول والمعادن بكالوريوس
الإدارية والإنسانية;الدراسات التطبيقية وخدمة المجتمع;جامعة الملك سعود دبلوم متوسط;جامعة الملك سعود دبلوم متوسط
الإدارة;إدارة الأعمال;جامعة طيبة بكالوريوس;جامعة طيبة بكالوريوس
الإدارة;إدارة الأعمال;جامعة تبوك بكالوريوس;جامعة تبوك بكالوريوس
الإدارة ;عمادة التعليم عن بعد;جامعة الإمام محمد بن سعود الإسلامية بكالوريوس;جامعة الإمام محمد بن سعود الإسلامية بكالوريوس
