SE;CO;IN;IT
الإدارة;إدارة أعمال;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا
الإدارة;إدارة الأعمال;جامعة الملك فيصل دراسات عليا;جامعة الملك فيصل دراسات عليا
الإدارة;الأمير سلطان للسياحة والإدارة بجدة;كلية الأمير سلطان للسياحة والإدارة بجدة دراسات عليا;كلية الأمير سلطان للسياحة والإدارة بجدة دراسات عليا
العلوم الإدارية;المجتمع بخميس مشيط;جامعة الملك خالد دبلوم متوسط;جامعة الملك خالد دبلوم متوسط
العلوم الإدارية;المجتمع للبنات بخميس مشيط;جامعة الملك خالد دبلوم متوسط;جامعة الملك خالد دبلوم متوسط
العلوم الإدارية;المجتمع;جامعة جازان دبلوم متوسط;جامعة جازان دبلوم متوسط
العلوم الإدارية;المجتمع;جامعة نجران دبلوم متوسط;جامعة نجران دبلوم متوسط
العلوم الإدارية;عمادة البرامج التحضيرية;جامعة الإمام محمد بن سعود الإسلامية بكالوريوس;جامعة الإمام محمد بن سعود الإسلامية بكالوريوس
العلوم الإدارية;الاقتصاد والعلوم الإدارية;جامعة الإمام محمد بن سعود الإسلامية بكالوريوس;جامعة الإمام محمد بن سعود الإسلامية بكالوريوس
العلوم الإدارية;الإدارة والاقتصاد المنزلي بأبها;جامعة الملك خالد بكالوريوس;جامعة الملك خالد بكالوريوس
العلوم الإدارية;الآداب والإدارة ببيشة;جامعة الملك خالد بكالوريوس;جامعة الملك خالد بكالوريوس
العلوم الإدارية;العلوم والآداب بتثليث;جامعة الملك خالد بكالوريوس;جامعة الملك خالد بكالوريوس
العلوم الإدارية;كلية ينبع الجامعية;قطاع ينبع التعليمي بكالوريوس;قطاع ينبع التعليمي بكالوريوس
العلوم الإدارية ;المجتمع ببيشة;جامعة الملك خالد دبلوم متوسط;جامعة الملك خالد دبلوم متوسط
العلوم الإدارية والإنسانية;المجتمع ببريدة;جامعة القصيم دبلوم متوسط;جامعة القصيم دبلوم متوسط
العلوم الإدارية وتقنياتها;المجتمع للبنات بأبها;جامعة الملك خالد دبلوم متوسط;جامعة الملك خالد دبلوم متوسط
العلوم الإدارية وتقنياتها;المجتمع بالنماص;جامعة الملك خالد دبلوم متوسط;جامعة الملك خالد دبلوم متوسط
التقنية الإدارية;الكلية التقنية بالرياض;المؤسسة العامة للتدريب التقني والمهني;المؤسسة العامة للتدريب التقني والمهني
التقنية الإدارية;الكلية التقنية بوادي الدواسر;المؤسسة العامة للتدريب التقني والمهني;المؤسسة العامة للتدريب التقني والمهني
التقنية الإدارية;التقنية بمكة المكرمة;المؤسسة العامة للتدريب التقني والمهني;المؤسسة العامة للتدريب التقني والمهني
التقنية الإدارية;الكلية التقنية بالقريات;المؤسسة العامة للتدريب التقني والمهني;المؤسسة العامة للتدريب التقني والمهني
الإعلان;الإعلان;جامعة الأعمال والتكنولوجيا الأهلية بكالوريوس;جامعة الأعمال والتكنولوجيا الأهلية بكالوريوس
التعليم المتقدم في طب الأسنان العام;طب الأسنان بالرياض;جامعة الملك سعود بن عبد العزيز للعلوم الصحية دراسات عليا;جامعة الملك سعود بن عبد العزيز للعلوم الصحية دراسات عليا
اللغة العربية والنحو والصرف;اللغة العربية وآدابها;جامعة أم القرى بكالوريوس;جامعة أم القرى بكالوريوس
هندسة الطيران والفضاء;العلوم الهندسية;جامعة الملك فهد للبترول والمعادن دراسات عليا;جامعة الملك فهد للبترول والمعادن دراسات عليا
زراعة;الزراعة والطب البيطري;جامعة القصيم بكالوريوس;جامعة القصيم بكالوريوس
الأعمال الزراعية وعلوم المستهلك;العلوم الزراعية والأغذية;جامعة الملك فيصل دراسات عليا;جامعة الملك فيصل دراسات عليا
الاقتصاد الزراعي;علوم الأغذية والزراعة;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا
الهندسة الزراعية;علوم الأغذية والزراعة;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا
البيئة والمصادر الطبيعية الزراعية;العلوم الزراعية والأغذية;جامعة الملك فيصل دراسات عليا;جامعة الملك فيصل دراسات عليا
هندسة النظم الزراعية;العلوم الزراعية والأغذية;جامعة الملك فيصل دراسات عليا;جامعة الملك فيصل دراسات عليا
تقنية هندسة الإكترونيات والآلات الدقيقة;كلية ينبع الصناعية;قطاع ينبع التعليمي دبلوم متوسط;قطاع ينبع التعليمي دبلوم متوسط
التربية الخاسة;العلوم والآداب بالرس;جامعة القصيم بكالوريوس;جامعة القصيم بكالوريوس
الهندسة الميكيانيكية;العلوم الهندسية;جامعة الملك فهد للبترول والمعادن دراسات عليا;جامعة الملك فهد للبترول والمعادن دراسات عليا
التشريح;الطب البيطري والثروة الحيوانية;جامعة الملك فيصل دراسات عليا;جامعة الملك فيصل دراسات عليا
التخدير;الأمير سلطان العسكرية للعلوم الصحية بالظهران;كلية الأمير سلطان العسكرية للعلوم الصحية بالظهران دبلوم متوسط;كلية الأمير سلطان العسكرية للعلوم الصحية بالظهران دبلوم متوسط
التخدير;عمادة الدراسات العليا;جامعة الملك سعود بن عبد العزيز للعلوم الصحية دراسات عليا;جامعة الملك سعود بن عبد العزيز للعلوم الصحية دراسات عليا
التخدير والعمليات;العلوم الطبية التطبيقية بخميس مشيط;جامعة الملك خالد بكالوريوس;جامعة الملك خالد بكالوريوس
الإنتاج الحيواني والسمكي;العلوم الزراعية والأغذية;جامعة الملك فيصل دراسات عليا;جامعة الملك فيصل دراسات عليا
الإنتاج الحيواني;علوم الأغذية والزراعة;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا
الفنون التطبيقية;التصميم والعمارة;جامعة جازان بكالوريوس;جامعة جازان بكالوريوس
اللغويات التطبيقية;العلوم الإدارية والإنسانية;كليات القصيم الأهلية بكالوريوس;كليات القصيم الأهلية بكالوريوس
اللغويات التطبيقية;كلية ينبع الجامعية;قطاع ينبع التعليمي بكالوريوس;قطاع ينبع التعليمي بكالوريوس
العلوم الطبية التطبيقية;المجتمع;جامعة نجران دبلوم متوسط;جامعة نجران دبلوم متوسط
العلوم الطبية التطبيقية;العلوم الطبية التطبيقية ببيشة;جامعة الملك خالد بكالوريوس;جامعة الملك خالد بكالوريوس
العلوم الطبيعية التطبيقية;المجتمع بعنيزة;جامعة القصيم دبلوم متوسط;جامعة القصيم دبلوم متوسط
العلوم التطبيقية;عمادة البرامج التحضيرية;جامعة الإمام محمد بن سعود الإسلامية بكالوريوس;جامعة الإمام محمد بن سعود الإسلامية بكالوريوس
العلوم التطبيقية;المعرفة للعلوم والتقنية ;كلية المعرفة للعلوم والتقنية بكالوريوس;كلية المعرفة للعلوم والتقنية بكالوريوس
اللغة العربية وآدابها;العلوم الإنسانية;جامعة الملك خالد بكالوريوس;جامعة الملك خالد بكالوريوس
اللغة العربية وآدابها;اللغة العربية والدراسات الاجتماعية;جامعة القصيم بكالوريوس;جامعة القصيم بكالوريوس
اللغة العربية وآدابها;العلوم والآداب بعنيزة;جامعة القصيم بكالوريوس;جامعة القصيم بكالوريوس
اللغة العربية وآدابها;العلوم والآداب ببريدة;جامعة القصيم بكالوريوس;جامعة القصيم بكالوريوس
اللغة العربية وآدابها;المجتمع بعنيزة - إنتقالي;جامعة القصيم بكالوريوس;جامعة القصيم بكالوريوس
اللغة العربية وآدابها;الآداب والعلوم الإنسانية;جامعة جازان بكالوريوس;جامعة جازان بكالوريوس
اللغة العربية وآدابها;الآداب والعلوم الإنسانية;جامعة الملك عبد العزيز دراسات عليا;جامعة الملك عبد العزيز دراسات عليا
اللغة العربية وآدابها;التربية والآداب;جامعة تبوك دراسات عليا;جامعة تبوك دراسات عليا
العمارة;التصميم والعمارة;جامعة جازان بكالوريوس;جامعة جازان بكالوريوس
العمارة;الهندسة;جامعة عفت بكالوريوس;جامعة عفت بكالوريوس
العمارة;دار الحكمة للتصميم والعمارة;جامعة دار الحكمة بكالوريوس;جامعة دار الحكمة بكالوريوس
الهندسة المعمارية;الهندسة;جامعة جازان بكالوريوس;جامعة جازان بكالوريوس
الهندسة المعمارية;الهندسة;جامعة الفيصل بكالوريوس;جامعة الفيصل بكالوريوس
الهندسة المعمارية;الهندسة المعمارية والتصميم الرقمي;جامعة دار العلوم الأهلية بكالوريوس;جامعة دار العلوم الأهلية بكالوريوس
العمارة;تصاميم البيئة;جامعة الملك عبد العزيز دراسات عليا;جامعة الملك عبد العزيز دراسات عليا
الهندسة المعمارية;تصاميم البيئة;جامعة الملك فهد للبترول والمعادن دراسات عليا;جامعة الملك فهد للبترول والمعادن دراسات عليا
العمارة;العمارة والتخطيط;جامعة الدمام دراسات عليا;جامعة الدمام دراسات عليا
العمارة وعلوم البناء;العمارة والتخطيط;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا
التصميم المعماري;العمارة والتخطيط;جامعة القصيم بكالوريوس;جامعة القصيم بكالوريوس
زراعة المناطق الجافة;الأرصاد والبيئة وزراعة المناطق الجافة;جامعة الملك عبد العزيز دراسات عليا;جامعة الملك عبد العزيز دراسات عليا
الحسبة ;المعهد العالي للأمر بالمعروف والنهي عن المنكر ;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا
اللغة العربية;الكلية الجامعية بالقنفذة ;جامعة أم القرى بكالوريوس;جامعة أم القرى بكالوريوس
اللغة العربية;اللغة العربية ;الجامعة الإسلامية بكالوريوس;الجامعة الإسلامية بكالوريوس
اللغة العربية;الآداب;جامعة الملك فيصل بكالوريوس;جامعة الملك فيصل بكالوريوس
اللغة العربية;الآداب للبنات بأبها;جامعة الملك خالد بكالوريوس;جامعة الملك خالد بكالوريوس
اللغة العربية;الآداب والإدارة ببيشة;جامعة الملك خالد بكالوريوس;جامعة الملك خالد بكالوريوس
اللغة العربية;العلوم والآداب للبنات بخميس مشيط;جامعة الملك خالد بكالوريوس;جامعة الملك خالد بكالوريوس
اللغة العربية;العلوم والآاب للبنات بمحايل عسير;جامعة الملك خالد بكالوريوس;جامعة الملك خالد بكالوريوس
اللغة العربية;العلوم والآداب بالرس;جامعة القصيم بكالوريوس;جامعة القصيم بكالوريوس
اللغة العربية;الآداب والعلوم الإنسانية;جامعة طيبة بكالوريوس;جامعة طيبة بكالوريوس
اللغة العربية;العلوم والآداب بالعلا;جامعة طيبة بكالوريوس;جامعة طيبة بكالوريوس
اللغة العربية;الآداب والفنون;جامعة حائل بكالوريوس;جامعة حائل بكالوريوس
اللغة العربية;العلوم الإدارية والإنسانية بسكاكا;جامعة الجوف بكالوريوس;جامعة الجوف بكالوريوس
اللغة العربية;العلوم والآداب بالقريات;جامعة الجوف بكالوريوس;جامعة الجوف بكالوريوس
اللغة العربية;التربية والآداب;جامعة تبوك بكالوريوس;جامعة تبوك بكالوريوس
اللغة العربية;الآداب والعلوم الإنسانية;جامعة الباحة بكالوريوس;جامعة الباحة بكالوريوس
اللغة العربية;العلوم والآداب;جامعة نجران بكالوريوس;جامعة نجران بكالوريوس
اللغة العربية;العلوم والآداب بشرورة;جامعة نجران بكالوريوس;جامعة نجران بكالوريوس
اللغة العربية;التربية بالدوادمي;جامعة شقراء بكالوريوس;جامعة شقراء بكالوريوس
اللغة العربية;العلوم والآداب بساجر;جامعة شقراء بكالوريوس;جامعة شقراء بكالوريوس
اللغة العربية;الآداب والعلوم بوادي الدواسر;جامعة سلمان بن عبدالعزيز بكالوريوس;جامعة سلمان بن عبدالعزيز بكالوريوس
اللغة العربية;التربية بالخرج;جامعة سلمان بن عبدالعزيز بكالوريوس;جامعة سلمان بن عبدالعزيز بكالوريوس
اللغة العربية;العلوم والدراسات الإنسانية بالافلاج;جامعة سلمان بن عبدالعزيز بكالوريوس;جامعة سلمان بن عبدالعزيز بكالوريوس
اللغة العربية;العلوم والدراسات الانسانية بالسليل;جامعة سلمان بن عبدالعزيز بكالوريوس;جامعة سلمان بن عبدالعزيز بكالوريوس
اللغة العربية; التربية بالمجمعة;جامعة المجمعة بكالوريوس;جامعة المجمعة بكالوريوس
اللغة العربية ;الشريعة والدراسات الإسلامية بالإحساء ;جامعة الإمام محمد بن سعود الإسلامية بكالوريوس;جامعة الإمام محمد بن سعود الإسلامية بكالوريوس
اللغة العربية ;عمادة التعليم عن بعد;جامعة الإمام محمد بن سعود الإسلامية بكالوريوس;جامعة الإمام محمد بن سعود الإسلامية بكالوريوس
اللغة العربية ;الكلية الجامعية بأملج;جامعة تبوك بكالوريوس;جامعة تبوك بكالوريوس
اللغة العربية;الآداب;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا
اللغة العربية;العلوم الانسانية والآداب فرع البنات;جامعة الملك عبد العزيز دراسات عليا;جامعة الملك عبد العزيز دراسات عليا
اللغة العربية;اللغة العربية والدراسات الإجتماعية;جامعة القصيم دراسات عليا;جامعة القصيم دراسات عليا
اللغة العربية;الآداب;جامعة الطائف دراسات عليا;جامعة الطائف دراسات عليا
اللغة العربية;الآداب بالدمام;جامعة الدمام دراسات عليا;جامعة الدمام دراسات عليا
الأدب العربي;اللغة العربية ;جامعة الإمام محمد بن سعود الإسلامية ;جامعة الإمام محمد بن سعود الإسلامية 
اللغة العربية لغير الناطقين بها;اللغة العربية والدراسات الإجتماعية;جامعة القصيم دبلوم متوسط;جامعة القصيم دبلوم متوسط
الآداب;اللغة العربية وآدابها;جامعة أم القرى بكالوريوس;جامعة أم القرى بكالوريوس
التربية الفنية;التربية;جامعة أم القرى بكالوريوس;جامعة أم القرى بكالوريوس
التربية الفنية;التصاميم والاقتصاد المنزلي ببريدة;جامعة القصيم بكالوريوس;جامعة القصيم بكالوريوس
التربية الفنية;التربية;جامعة طيبة بكالوريوس;جامعة طيبة بكالوريوس
التربية الفنية;التربية;جامعة جازان بكالوريوس;جامعة جازان بكالوريوس
التربية الفنية;التربية;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا
 الآداب والعلوم الإنسانية; العلوم والآداب - فرع البنات;جامعة الملك عبد العزيز بكالوريوس;جامعة الملك عبد العزيز بكالوريوس
مساعد طبيب;كلية الأمير سلطان العسكرية للعلوم الصحية بالظهران ;كلية الأمير سلطان العسكرية للعلوم الصحية بالظهران دراسات عليا;كلية الأمير سلطان العسكرية للعلوم الصحية بالظهران دراسات عليا
الفلك;العلوم;جامعة الملك عبد العزيز دراسات عليا;جامعة الملك عبد العزيز دراسات عليا
هندسة الطيران;الهندسة;جامعة الملك عبد العزيز دراسات عليا;جامعة الملك عبد العزيز دراسات عليا
برنامج بكالوريوس علوم الحاسبات (تجسير);علوم وهندسة الحاسبات;جامعة طيبة بكالوريوس;جامعة طيبة بكالوريوس
إدارة أعمال بنكية;المجتمع بشقراء;جامعة شقراء دبلوم متوسط;جامعة شقراء دبلوم متوسط
الأعمال المصرفية والتمويل;إدارة الأعمال;جامعة جازان بكالوريوس;جامعة جازان بكالوريوس
الأعمال المصرفية والتمويل;دار الحكمة لإدارة الأعمال والقانون;جامعة دار الحكمة بكالوريوس;جامعة دار الحكمة بكالوريوس
تعليم أساسي اللغة العربية;العلوم والآداب بضرية;جامعة القصيم بكالوريوس;جامعة القصيم بكالوريوس
التعليم الأساسي;العلوم والآداب بالرس;جامعة القصيم بكالوريوس;جامعة القصيم بكالوريوس
التعليم الأساسي;العلوم والآداب بعنيزة;جامعة القصيم بكالوريوس;جامعة القصيم بكالوريوس
 المهارات الأساسية;معهد الجبيل التقني;معهد الجبيل التقني دبلوم متوسط;معهد الجبيل التقني دبلوم متوسط
العلوم الأساسية وتقنياتها;المجتمع بالمدينة المنورة;جامعة طيبة دبلوم متوسط;جامعة طيبة دبلوم متوسط
العلوم الأساسية ومواد الأعداد;الطب بالرياض;جامعة الملك سعود بن عبدالعزيز للعلوم الصحية بكالوريوس;جامعة الملك سعود بن عبدالعزيز للعلوم الصحية بكالوريوس
الباطنة;عمادة الدراسات العليا;جامعة الملك سعود بن عبد العزيز للعلوم الصحية دراسات عليا;جامعة الملك سعود بن عبد العزيز للعلوم الصحية دراسات عليا
إدارة الأعمال والمعلومات;المجتمع بجدة;جامعة الملك عبد العزيز دبلوم متوسط;جامعة الملك عبد العزيز دبلوم متوسط
أحياء;العلوم;جامعة الباحة بكالوريوس;جامعة الباحة بكالوريوس
الأحياء;العلوم;جامعة الملك خالد بكالوريوس;جامعة الملك خالد بكالوريوس
الأحياء;العلوم والآداب للبنات بظهران الجنوب;جامعة الملك خالد بكالوريوس;جامعة الملك خالد بكالوريوس
الأحياء;العلوم;جامعة طيبة بكالوريوس;جامعة طيبة بكالوريوس
الأحياء;العلوم;جامعة جازان بكالوريوس;جامعة جازان بكالوريوس
الأحياء;العلوم والآداب بالدرب;جامعة جازان بكالوريوس;جامعة جازان بكالوريوس
الأحياء;العلوم;جامعة حائل بكالوريوس;جامعة حائل بكالوريوس
الأحياء;العلوم;جامعة تبوك بكالوريوس;جامعة تبوك بكالوريوس
الأحياء;الكلية الجامعية بأملج;جامعة تبوك بكالوريوس;جامعة تبوك بكالوريوس
الأحياء;العلوم والدراسات الإنسانية بالدوادمي;جامعة شقراء بكالوريوس;جامعة شقراء بكالوريوس
الأحياء;التربية بعفيف;جامعة شقراء بكالوريوس;جامعة شقراء بكالوريوس
الأحياء;العلوم والآداب بساجر;جامعة شقراء بكالوريوس;جامعة شقراء بكالوريوس
الأحياء;العلوم والدراسات الإنسانية بالقويعية;جامعة شقراء بكالوريوس;جامعة شقراء بكالوريوس
الأحياء;التربية بالخرج;جامعة سلمان بن عبدالعزيز بكالوريوس;جامعة سلمان بن عبدالعزيز بكالوريوس
الأحياء;العلوم والدراسات الإنسانية بالخرج;جامعة سلمان بن عبدالعزيز بكالوريوس;جامعة سلمان بن عبدالعزيز بكالوريوس
الأحياء; التربية بالمجمعة;جامعة المجمعة بكالوريوس;جامعة المجمعة بكالوريوس
الاحياء;العلوم التطبيقية ;جامعة أم القرى بكالوريوس;جامعة أم القرى بكالوريوس
علم الأحياء;العلوم;جامعة الملك عبد العزيز بكالوريوس;جامعة الملك عبد العزيز بكالوريوس
الأحياء;العلوم;جامعة الطائف دراسات عليا;جامعة الطائف دراسات عليا
الأحياء;العلوم بالدمام;جامعة الدمام دراسات عليا;جامعة الدمام دراسات عليا
الكيمياء الحيوية;العلوم;جامعة تبوك بكالوريوس;جامعة تبوك بكالوريوس
الكيمياء الحيوية;العلوم;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا
كيمياء حيوية;العلوم;جامعة الملك عبد العزيز دراسات عليا;جامعة الملك عبد العزيز دراسات عليا
التكنولوجيا الطبية الحيوية;كلية العناية الطبية الأهلية;كلية العناية الطبية الأهلية بكالوريوس;كلية العناية الطبية الأهلية بكالوريوس
العلوم الحيوية;الطب البشري;جامعة الفيصل دراسات عليا;جامعة الفيصل دراسات عليا
النبات والأحياء الدقيقة;العلوم;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا
 تجسير علوم مختبرات إكلينيكية;الأمير سلطان العسكرية للعلوم الصحية بالظهران;كلية الأمير سلطان العسكرية للعلوم الصحية بالظهران بكالوريوس;كلية الأمير سلطان العسكرية للعلوم الصحية بالظهران بكالوريوس
 تجسير العناية التنفسية;الأمير سلطان العسكرية للعلوم الصحية بالظهران;كلية الأمير سلطان العسكرية للعلوم الصحية بالظهران بكالوريوس;كلية الأمير سلطان العسكرية للعلوم الصحية بالظهران بكالوريوس
علوم تقنية البناء;العمارة والتخطيط;جامعة الدمام دراسات عليا;جامعة الدمام دراسات عليا
إدارة أعمال;المجتمع بمحايل عسير;جامعة الملك خالد دبلوم متوسط;جامعة الملك خالد دبلوم متوسط
إدارة أعمال;المجتمع بالقويعية;جامعة شقراء دبلوم متوسط;جامعة شقراء دبلوم متوسط
إدارة أعمال;المجتمع بحريملاء;جامعة شقراء دبلوم متوسط;جامعة شقراء دبلوم متوسط
إدارة أعمال;المجتمع بالخرج (تأهيلي);جامعة سلمان بن عبدالعزيز دبلوم متوسط;جامعة سلمان بن عبدالعزيز دبلوم متوسط
إدارة أعمال;إدارة الأعمال;جامعة جازان بكالوريوس;جامعة جازان بكالوريوس
إدارة أعمال;العلوم المالية والإدارية;جامعة الباحة بكالوريوس;جامعة الباحة بكالوريوس
إدارة أعمال;العلوم والآداب بشقراء;جامعة شقراء بكالوريوس;جامعة شقراء بكالوريوس
إدارة أعمال;العلوم والدراسات الإنسانية بحريملاء;جامعة شقراء بكالوريوس;جامعة شقراء بكالوريوس
إدارة أعمال;العلوم الإدارية والإنسانية بحوطة سدير;جامعة المجمعة بكالوريوس;جامعة المجمعة بكالوريوس
عام إدارة أعمال;إدارة الأعمال;جامعة طيبة بكالوريوس;جامعة طيبة بكالوريوس
الأعمال;الأعمال برابغ;جامعة الملك عبد العزيز بكالوريوس;جامعة الملك عبد العزيز بكالوريوس
إدارة الأعمال;المجتمع;جامعة حائل دبلوم متوسط;جامعة حائل دبلوم متوسط
إدارة الأعمال;المجتمع بالخرج (المشارك);جامعة سلمان بن عبدالعزيز دبلوم متوسط;جامعة سلمان بن عبدالعزيز دبلوم متوسط
إدارة الأعمال;الاقتصاد والإدارة;جامعة الملك عبد العزيز بكالوريوس;جامعة الملك عبد العزيز بكالوريوس
إدارة الأعمال;العلوم الإدارية والمالية;جامعة الملك خالد بكالوريوس;جامعة الملك خالد بكالوريوس
إدارة الأعمال;العلوم الإدارية والمالية;جامعة الطائف بكالوريوس;جامعة الطائف بكالوريوس
إدارة الأعمال;العلوم والآداب بالدرب;جامعة جازان بكالوريوس;جامعة جازان بكالوريوس
إدارة الأعمال;العلوم الإدارية والإنسانية بسكاكا;جامعة الجوف بكالوريوس;جامعة الجوف بكالوريوس
إدارة الأعمال;العلوم الإدارية;جامعة نجران بكالوريوس;جامعة نجران بكالوريوس
إدارة الأعمال;العلوم والدراسات الإنسانية بالدوادمي;جامعة شقراء بكالوريوس;جامعة شقراء بكالوريوس
إدارة الأعمال;العلوم والدراسات الإنسانية بالقويعية;جامعة شقراء بكالوريوس;جامعة شقراء بكالوريوس
إدارة الأعمال;العلوم والدراسات الإنسانية بضرماء;جامعة شقراء بكالوريوس;جامعة شقراء بكالوريوس
إدارة الأعمال;العلوم والدراسات بثادق;جامعة شقراء بكالوريوس;جامعة شقراء بكالوريوس
إدارة الأعمال;إدارة الأعمال بعفيف;جامعة شقراء بكالوريوس;جامعة شقراء بكالوريوس
إدارة الأعمال;إدارة الأعمال بحوطة بني تميم;جامعة سلمان بن عبدالعزيز بكالوريوس;جامعة سلمان بن عبدالعزيز بكالوريوس
إدارة الأعمال;العلوم والدراسات الإنسانية بالافلاج;جامعة سلمان بن عبدالعزيز بكالوريوس;جامعة سلمان بن عبدالعزيز بكالوريوس
إدارة الأعمال;العلوم والدراسات الانسانية بالسليل;جامعة سلمان بن عبدالعزيز بكالوريوس;جامعة سلمان بن عبدالعزيز بكالوريوس
إدارة الأعمال;كلية الدرسات التطبيقية وخدمة المجتمع;جامعة الدمام بكالوريوس;جامعة الدمام بكالوريوس
إدارة الأعمال;العلوم الإدارية والانسانية برماح;جامعة المجمعة بكالوريوس;جامعة المجمعة بكالوريوس
إدارة الأعمال;عمادة خدمة المجتمع والتعليم المستمر  بالمجمعة ;جامعة المجمعة بكالوريوس;جامعة المجمعة بكالوريوس
إدارة الأعمال;إدارة الأعمال;الجامعة العربية المفتوحة بكالوريوس;الجامعة العربية المفتوحة بكالوريوس
إدارة الأعمال;إدارة الأعمال;جامعة الأمير محمد بن فهد بكالوريوس;جامعة الأمير محمد بن فهد بكالوريوس
إدارة الأعمال;الكلية الجامعية بالجبيل;الكلية الجامعية بالجبيل بكالوريوس;الكلية الجامعية بالجبيل بكالوريوس
إدارة الأعمال ;إدارة الأعمال;جامعة المجمعة بكالوريوس;جامعة المجمعة بكالوريوس
إدارة الأعمال ;إدارة الأعمال بالزلفي;جامعة المجمعة بكالوريوس;جامعة المجمعة بكالوريوس
ادارة الاعمال;العلوم والآداب بطبرجل;جامعة الجوف بكالوريوس;جامعة الجوف بكالوريوس
